tool,supervisor_pre,campaign_post_after_reaudit,campaigns,downgrade_reason
mt_core_health,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_core_license,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_core_restart,no_live_evidence,documented_blocker,J,
mt_core_restart_update,no_live_evidence,documented_blocker,J,
mt_core_shutdown,no_live_evidence,documented_blocker,J,
mt_core_status,partial_or_failed_live_path,partial_or_failed_live_path,,
mt_deposit_address,no_live_evidence,validated_real_response,J,
mt_deposit_info,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_disconnect,no_live_evidence,validated_real_response,A,
mt_dust_convert,no_live_evidence,validated_real_response,J,
mt_dust_get,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_events_poll,no_live_evidence,validated_real_response,B,
mt_events_status,no_live_evidence,validated_real_response,B,
mt_exchange_funding_rate,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_exchange_klines,partial_or_failed_live_path,partial_or_failed_live_path,,
mt_exchange_leverage_brackets,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_exchange_pair_detail,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_exchange_pairs,partial_or_failed_live_path,partial_or_failed_live_path,,
mt_exchange_search,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_exchange_summary,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_exchange_ticker24,partial_or_failed_live_path,partial_or_failed_live_path,,
mt_exchange_trades,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_fleet_algos,no_live_evidence,validated_real_response,G,
mt_fleet_autostops,no_live_evidence,validated_real_response,G,
mt_fleet_balances,no_live_evidence,validated_real_response,G,
mt_fleet_batch_connect,no_live_evidence,validated_real_response,G,
mt_fleet_blacklist,no_live_evidence,validated_real_response,G,
mt_fleet_connect,no_live_evidence,validated_real_response,G,
mt_fleet_disconnect,no_live_evidence,validated_real_response,G,
mt_fleet_health,no_live_evidence,validated_real_response,G,
mt_fleet_perf,no_live_evidence,validated_real_response,G,
mt_fleet_positions,no_live_evidence,validated_real_response,G,
mt_fleet_reports,no_live_evidence,validated_real_response,G,
mt_fleet_set_margin_type,no_live_evidence,validated_real_response,G,
mt_fleet_status,no_live_evidence,validated_real_response,G,
mt_fleet_summary,no_live_evidence,validated_real_response,G,
mt_folders_add,no_live_evidence,validated_real_response,A,
mt_folders_delete,no_live_evidence,validated_real_response,A,
mt_folders_edit,no_live_evidence,validated_real_response,A,
mt_folders_list,no_live_evidence,validated_real_response,A,
mt_fund_transfer,no_live_evidence,validated_real_response,J,
mt_funding_request,no_live_evidence,validated_real_response,J,
mt_graphtool_delete,no_live_evidence,validated_real_response,I,
mt_graphtool_list,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_graphtool_save,no_live_evidence,validated_real_response,I,
mt_graphtool_subscribe,no_live_evidence,validated_real_response,C,
mt_graphtool_unsubscribe,no_live_evidence,validated_real_response,C,
mt_import_add_numeric,no_live_evidence,validated_real_response,J,
mt_import_from_profile,no_live_evidence,validated_real_response,J,
mt_import_templates,no_live_evidence,partial_or_failed_live_path,J,file-not-found error path only; import feature not exercised
mt_import_v2,no_live_evidence,partial_or_failed_live_path,J,file-not-found error path only; import feature not exercised
mt_livemarkets_list,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_livemarkets_subscribe,no_live_evidence,validated_real_response,C,
mt_livemarkets_unsubscribe,no_live_evidence,validated_real_response,C,
mt_marketdata_depth,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_marketdata_depth_subscribe,no_live_evidence,validated_real_response,C,
mt_marketdata_depth_unsubscribe,no_live_evidence,validated_real_response,C,
mt_marketdata_klines,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_marketdata_klines_subscribe,no_live_evidence,validated_real_response,C,
mt_marketdata_klines_unsubscribe,no_live_evidence,validated_real_response,C,
mt_marketdata_markprice,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_marketdata_markprice_subscribe,no_live_evidence,validated_real_response,C,
mt_marketdata_markprice_unsubscribe,no_live_evidence,validated_real_response,C,
mt_marketdata_status,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_marketdata_ticker,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_marketdata_ticker_subscribe,no_live_evidence,validated_real_response,C,
mt_marketdata_ticker_unsubscribe,no_live_evidence,validated_real_response,C,
mt_marketdata_trades,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_marketdata_trades_subscribe,no_live_evidence,validated_real_response,C,
mt_marketdata_trades_unsubscribe,no_live_evidence,validated_real_response,C,
mt_metrics_get,no_live_evidence,validated_real_response,B,
mt_monitor_health,no_live_evidence,validated_real_response,C,
mt_monitor_performance,no_live_evidence,validated_real_response,C,
mt_monitor_start,no_live_evidence,validated_real_response,C,
mt_monitor_stats,no_live_evidence,validated_real_response,C,
mt_monitor_status,no_live_evidence,validated_real_response,C,
mt_monitor_stop,no_live_evidence,validated_real_response,C,
mt_notifications_clear,no_live_evidence,validated_real_response,C,
mt_notifications_config_capabilities,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_notifications_config_descriptors,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_notifications_config_groups,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_notifications_config_targets,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_notifications_list,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_notifications_subscribe,no_live_evidence,validated_real_response,C,
mt_notifications_unsubscribe,no_live_evidence,validated_real_response,C,
mt_orders_cancel,no_live_evidence,validated_real_response,E,
mt_orders_cancel_all,no_live_evidence,validated_real_response,E,
mt_orders_change_margin,no_live_evidence,validated_real_response,E,
mt_orders_close,no_live_evidence,validated_real_response,E,
mt_orders_close_all,no_live_evidence,validated_real_response,E,
mt_orders_close_by_tpsl,no_live_evidence,validated_real_response,E,
mt_orders_get_multiasset,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_orders_get_position_mode,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_orders_join,no_live_evidence,validated_real_response,E,
mt_orders_list,partial_or_failed_live_path,partial_or_failed_live_path,,
mt_orders_move,no_live_evidence,validated_real_response,E,
mt_orders_move_batch,no_live_evidence,partial_or_failed_live_path,E,refused with 'Re-run with --confirm'; feature outcome unverified
mt_orders_panic_sell,no_live_evidence,documented_blocker,E,
mt_orders_place,partial_or_failed_live_path,validated_real_response,E,
mt_orders_positions,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_orders_reset_tpsl,no_live_evidence,validated_real_response,E,
mt_orders_set_leverage,no_live_evidence,validated_real_response,E,
mt_orders_set_leverage_buysell,no_live_evidence,validated_real_response,E,
mt_orders_set_margin_type,no_live_evidence,validated_real_response,E,
mt_orders_set_multiasset,no_live_evidence,validated_real_response,E,
mt_orders_set_position_mode,no_live_evidence,validated_real_response,E,
mt_orders_split,no_live_evidence,validated_real_response,E,
mt_orders_transfer,no_live_evidence,validated_real_response,E,
mt_orders_update_tpsl,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_perf_list,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_perf_request,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_perf_subscribe,no_live_evidence,validated_real_response,B,
mt_perf_unsubscribe,no_live_evidence,validated_real_response,B,
mt_profile_settings_delete,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_profile_settings_get,failed_live_path,failed_live_path,,
mt_profile_settings_list,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_profile_settings_update,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_profiles_add,no_live_evidence,validated_real_response,A,
mt_profiles_delete,no_live_evidence,validated_real_response,A,
mt_profiles_edit,no_live_evidence,validated_real_response,A,
mt_profiles_import_csv,no_live_evidence,validated_real_response,A,
mt_profiles_list,no_live_evidence,validated_real_response,A,
mt_profiles_move,no_live_evidence,validated_real_response,A,
mt_profiling_subscribe,no_live_evidence,validated_real_response,C,
mt_profiling_unsubscribe,no_live_evidence,validated_real_response,C,
mt_rate_status,no_live_evidence,validated_real_response,B,
mt_reports_cancel,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_reports_comments,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_reports_csv_inline,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_reports_dates,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_reports_delete,no_live_evidence,partial_or_failed_live_path,L,depended on store success; 'No stored report set named X'
mt_reports_export,no_live_evidence,partial_or_failed_live_path,L,'No trades found' precondition fail; no CSV exported
mt_reports_fleet_export,no_live_evidence,partial_or_failed_live_path,L,'No trades found from any connected server'; no CSV exported
mt_reports_load,no_live_evidence,partial_or_failed_live_path,L,depended on store success; 'No stored report set named X'
mt_reports_query,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_reports_status,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_reports_store,no_live_evidence,partial_or_failed_live_path,L,'No trades found' precondition fail; nothing was stored
mt_reports_stored,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_reports_trades,partial_or_failed_live_path,partial_or_failed_live_path,,
mt_settings_diff,no_live_evidence,validated_real_response,J,
mt_settings_diff_snapshots,no_live_evidence,validated_real_response,J,
mt_settings_get,partial_or_failed_live_path,partial_or_failed_live_path,,
mt_settings_groups,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_settings_search,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_settings_set,no_live_evidence,validated_real_response,J,
mt_signals_send,no_live_evidence,validated_real_response,J,
mt_status,partial_or_failed_live_path,partial_or_failed_live_path,,
mt_tpsl_cancel,no_live_evidence,partial_or_failed_live_path,H,synthetic id=0; venue returned ERROR but no real TPSL was cancelled
mt_tpsl_cancel_many,no_live_evidence,partial_or_failed_live_path,H,"synthetic ids [0,0]; 0 succeeded, 2 failed (no real cancel)"
mt_tpsl_join,no_live_evidence,partial_or_failed_live_path,H,synthetic ids; 'No response from TPSL join' (timeout)
mt_tpsl_list,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_tpsl_panic,no_live_evidence,partial_or_failed_live_path,H,synthetic id=0; NOT_FOUND pre-flight; no real panic
mt_tpsl_panic_many,no_live_evidence,partial_or_failed_live_path,H,synthetic ids; 2 NOT_FOUND pre-flight; no real panic
mt_tpsl_split,no_live_evidence,partial_or_failed_live_path,H,synthetic id=0; 'No response from TPSL split' (timeout)
mt_tpsl_split_many,no_live_evidence,partial_or_failed_live_path,H,"synthetic ids; 2 TIMEOUT responses, no real split"
mt_tpsl_subscribe,no_live_evidence,validated_real_response,C,
mt_tpsl_unsubscribe,no_live_evidence,validated_real_response,C,
mt_triggers_delete,no_live_evidence,validated_real_response,I,
mt_triggers_list,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_triggers_save,no_live_evidence,validated_real_response,I,
mt_triggers_start,no_live_evidence,validated_real_response,I,
mt_triggers_start_all,no_live_evidence,validated_real_response,I,
mt_triggers_stop,no_live_evidence,validated_real_response,I,
mt_triggers_stop_all,no_live_evidence,validated_real_response,I,
mt_triggers_subscribe,no_live_evidence,validated_real_response,C,
mt_triggers_unsubscribe,no_live_evidence,validated_real_response,C,
mt_use,no_live_evidence,validated_real_response,A,
mt_vault_delete_profile,no_live_evidence,documented_blocker,A,
mt_vault_get_profile,no_live_evidence,documented_blocker,A,
mt_vault_list_profiles,no_live_evidence,documented_blocker,A,
mt_vault_store_profile,no_live_evidence,documented_blocker,A,
mt_watchdog_status,no_live_evidence,rpc_error_unhandled,A,
mt_watchdog_token_update,no_live_evidence,rpc_error_unhandled,A,
mt_whitelist_add,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_whitelist_bulk_add,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_whitelist_bulk_remove,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_whitelist_list,yes_real_response_or_activity,yes_real_response_or_activity,,
mt_whitelist_remove,no_live_evidence,validated_real_response,J,
